Running 360 combos (PILOT D2 only)...
[  1/360] vmr-ema30-te0-sk0.5-tc20           d2=   2278.0 trd=  70  eta=4.1min
[  2/360] vmr-ema30-te0-sk0.5-tc30           d2=   1547.5 trd=  63  eta=4.0min
[  3/360] vmr-ema30-te0-sk0.5-tc50           d2=  -2416.5 trd=   8  eta=4.1min
[  4/360] vmr-ema30-te0-sk1.0-tc20           d2=   1969.0 trd=  70  eta=4.1min
[  5/360] vmr-ema30-te0-sk1.0-tc30           d2=   1555.5 trd=  63  eta=4.0min
[  6/360] vmr-ema30-te0-sk1.0-tc50           d2=  -2416.5 trd=   8  eta=4.0min
[  7/360] vmr-ema30-te0-sk1.5-tc20           d2=   1969.0 trd=  70  eta=3.9min
[  8/360] vmr-ema30-te0-sk1.5-tc30           d2=   1548.5 trd=  63  eta=3.9min
[  9/360] vmr-ema30-te0-sk1.5-tc50           d2=  -2416.5 trd=   8  eta=3.9min
[ 80/360] vmr-ema30-te4-sk1.5-tc30           d2=  -2103.0 trd=   9  eta=3.1min
[ 81/360] vmr-ema30-te4-sk1.5-tc50           d2=  -2103.0 trd=   9  eta=3.1min
[ 82/360] vmr-ema30-te4-sk2.0-tc20           d2=  -2156.5 trd=   9  eta=3.1min
[ 83/360] vmr-ema30-te4-sk2.0-tc30           d2=  -2156.5 trd=   9  eta=3.1min
[ 84/360] vmr-ema30-te4-sk2.0-tc50           d2=  -2156.5 trd=   9  eta=3.1min
[ 85/360] vmr-ema30-te4-sk2.5-tc20           d2=  -2156.5 trd=   9  eta=3.1min
[ 86/360] vmr-ema30-te4-sk2.5-tc30           d2=  -2156.5 trd=   9  eta=3.1min
[ 87/360] vmr-ema30-te4-sk2.5-tc50           d2=  -2156.5 trd=   9  eta=3.1min
[ 88/360] vmr-ema30-te4-sk3.0-tc20           d2=  -2148.5 trd=   9  eta=3.1min
[ 89/360] vmr-ema30-te4-sk3.0-tc30           d2=  -2148.5 trd=   9  eta=3.0min
[ 90/360] vmr-ema30-te4-sk3.0-tc50           d2=  -2148.5 trd=   9  eta=3.0min
[ 91/360] vmr-ema50-te0-sk0.5-tc20           d2=   2268.0 trd=  27  eta=3.0min
[ 92/360] vmr-ema50-te0-sk0.5-tc30           d2=   2837.5 trd=   4  eta=3.0min
[ 93/360] vmr-ema50-te0-sk0.5-tc50           d2=  -5410.5 trd=  78  eta=3.0min
[ 94/360] vmr-ema50-te0-sk1.0-tc20           d2=   2495.5 trd=  49  eta=3.0min
[ 95/360] vmr-ema50-te0-sk1.0-tc30           d2=   2176.5 trd=  45  eta=3.0min
[ 96/360] vmr-ema50-te0-sk1.0-tc50           d2=  -5390.5 trd=  78  eta=3.0min
[ 97/360] vmr-ema50-te0-sk1.5-tc20           d2=   2495.5 trd=  49  eta=3.0min
[ 98/360] vmr-ema50-te0-sk1.5-tc30           d2=   2176.5 trd=  45  eta=3.0min
[ 99/360] vmr-ema50-te0-sk1.5-tc50           d2=  -5392.0 trd=  80  eta=2.9min
[100/360] vmr-ema50-te0-sk2.0-tc20           d2=   2440.5 trd=  50  eta=2.9min
[101/360] vmr-ema50-te0-sk2.0-tc30           d2=  -3913.0 trd=  78  eta=2.9min
